Date,Country,Home,Away,GD<-5,GD=-5,GD=-4,GD=-3,GD=-2,GD=-1,GD=0,GD=1,GD=2,GD=3,GD=4,GD=5,GD>5,R:0-0,R:0-1,R:1-0,R:0-2,R:1-1,R:2-0,R:0-3,R:1-2,R:2-1,R:3-0,R:0-4,R:1-3,R:2-2,R:3-1,R:4-0,R:0-5,R:1-4,R:2-3,R:3-2,R:4-1,R:5-0,R:0-6,R:1-5,R:2-4,R:3-3,R:4-2,R:5-1,R:6-0
2026-02-10,ENG,Chelsea,Leeds,0.0,0.001,0.0041,0.0113,0.039,0.1137,0.2091,0.2455,0.1876,0.1025,0.0564,0.0186,0.0111,0.0482,0.0474,0.1027,0.0187,0.0944,0.1039,0.0061,0.0438,0.1042,0.0644,0.0023,0.0159,0.0529,0.063,0.0363,0.0006,0.0039,0.0178,0.0302,0.0319,0.0143,0.0,0.0011,0.0042,0.0124,0.0191,0.0182,0.0068
2026-02-10,ENG,Everton,Bournemouth,0.0003,0.002,0.0055,0.0289,0.0778,0.1733,0.3017,0.2306,0.1148,0.0493,0.0118,0.003,0.001,0.092,0.0809,0.1132,0.0425,0.1463,0.0706,0.0202,0.0708,0.091,0.0367,0.0038,0.0297,0.0536,0.0382,0.0077,0.0016,0.0078,0.0202,0.0235,0.0111,0.0025,0.0002,0.0014,0.0053,0.0093,0.0053,0.0038,0.0007
2026-02-10,ENG,West Ham,Man United,0.0066,0.008,0.0311,0.0741,0.1338,0.2205,0.2379,0.1636,0.0844,0.0275,0.0111,0.0009,0.0004,0.0521,0.0814,0.061,0.0672,0.1032,0.0372,0.0411,0.0972,0.0706,0.0159,0.0204,0.0532,0.0613,0.0345,0.0076,0.0069,0.0273,0.0341,0.0266,0.0114,0.0007,0.0038,0.008,0.0101,0.0205,0.0113,0.0034,0.0003
2026-02-10,ENG,Birmingham,West Brom,0.0005,0.0011,0.0033,0.0165,0.0723,0.1627,0.2913,0.2452,0.1254,0.0542,0.0192,0.0063,0.0019,0.0888,0.0748,0.1227,0.0457,0.1401,0.0816,0.0121,0.0649,0.0922,0.035,0.0026,0.0229,0.0526,0.038,0.0127,0.0007,0.0041,0.0203,0.0254,0.0155,0.0054,0.0004,0.0006,0.0035,0.0081,0.0044,0.0048,0.0016
2026-02-10,ENG,Leicester,Southampton,0.0009,0.0018,0.0092,0.0356,0.0925,0.1894,0.2792,0.2158,0.1126,0.0418,0.0142,0.0065,0.0004,0.0754,0.0822,0.0917,0.0512,0.1247,0.0577,0.0256,0.0741,0.0881,0.028,0.0046,0.0319,0.0661,0.0434,0.0107,0.0016,0.0084,0.0287,0.0297,0.0126,0.0058,0.0009,0.0045,0.008,0.0122,0.0106,0.0025,0.0
2026-02-10,ENG,Tottenham,Newcastle,0.0007,0.0034,0.0128,0.0431,0.1033,0.1861,0.2783,0.2075,0.0999,0.0435,0.015,0.0055,0.0006,0.0691,0.073,0.0869,0.0503,0.1246,0.0554,0.0284,0.077,0.0822,0.0294,0.0094,0.0431,0.0685,0.037,0.0107,0.0014,0.0127,0.0294,0.0328,0.012,0.0033,0.0005,0.0031,0.008,0.0152,0.0066,0.0032,0.0003
2026-02-10,ENG,Oxford,Norwich,0.0009,0.0027,0.0138,0.0486,0.104,0.2064,0.2857,0.1985,0.0977,0.0298,0.009,0.002,0.0007,0.0823,0.1022,0.1007,0.0606,0.1388,0.0556,0.0354,0.0787,0.0776,0.02,0.0094,0.0357,0.0533,0.0336,0.0075,0.0024,0.0116,0.0209,0.0182,0.0081,0.0018,0.0007,0.0033,0.0059,0.0103,0.007,0.0015,0.0
2026-02-10,ITA,Venezia,Modena,0.0,0.0009,0.0029,0.0099,0.0378,0.1154,0.2217,0.257,0.1861,0.0961,0.0482,0.0156,0.0081,0.0637,0.0555,0.1233,0.0201,0.1014,0.1145,0.0061,0.0432,0.1033,0.0666,0.0019,0.0146,0.0472,0.0564,0.0346,0.0005,0.0029,0.0142,0.0256,0.0262,0.0123,0.0,0.0006,0.003,0.0088,0.0142,0.0127,0.0055
2026-02-10,ITA,Sampdoria,Palermo,0.0015,0.0052,0.0184,0.0475,0.1057,0.2231,0.2936,0.1862,0.0771,0.0281,0.0105,0.0028,0.0001,0.0949,0.1062,0.0924,0.0642,0.1316,0.0479,0.034,0.0887,0.0749,0.0207,0.0139,0.037,0.0562,0.0246,0.0069,0.0043,0.0119,0.026,0.0175,0.0055,0.0022,0.0014,0.0037,0.0037,0.0102,0.0045,0.0031,0.0
2026-02-10,ITA,Pescara,Catanzaro,0.005,0.0075,0.027,0.0691,0.1395,0.2278,0.2504,0.1622,0.0785,0.0243,0.0079,0.0004,0.0002,0.0648,0.0953,0.0675,0.0804,0.1116,0.0385,0.039,0.0939,0.0657,0.0146,0.0177,0.0476,0.0569,0.0317,0.0059,0.0063,0.0253,0.0325,0.0244,0.0092,0.0003,0.0031,0.0073,0.0086,0.0164,0.0074,0.002,0.0002
2026-02-10,ITA,Reggiana,Mantova,0.0005,0.0016,0.0077,0.0328,0.0884,0.1806,0.2895,0.2249,0.1076,0.0498,0.0115,0.0048,0.0002,0.0819,0.0771,0.1002,0.0472,0.1361,0.0603,0.0232,0.0784,0.0937,0.0345,0.0049,0.0343,0.0589,0.0391,0.008,0.0012,0.0081,0.0238,0.0278,0.013,0.0037,0.0005,0.0023,0.0065,0.0117,0.0079,0.0032,0.0001
2026-02-10,ITA,Padova,Carrarese,0.0007,0.0023,0.013,0.0412,0.0996,0.1896,0.3035,0.2039,0.0977,0.0355,0.0101,0.0024,0.0003,0.0949,0.0901,0.1058,0.0566,0.1423,0.0592,0.0312,0.0732,0.0734,0.0259,0.0103,0.0363,0.057,0.032,0.0082,0.0016,0.0084,0.0224,0.0223,0.0079,0.0018,0.0006,0.0023,0.0051,0.009,0.0059,0.0018,0.0002
2026-02-10,ITA,Entella,Cesena,0.0005,0.0025,0.012,0.0473,0.0999,0.21,0.2994,0.2008,0.0888,0.0272,0.009,0.0024,0.0002,0.0968,0.1075,0.1065,0.0596,0.1403,0.0516,0.0345,0.0808,0.0727,0.0184,0.0091,0.0342,0.0524,0.0288,0.007,0.0023,0.0114,0.0185,0.0193,0.0078,0.0023,0.0002,0.0021,0.0045,0.0084,0.0074,0.0018,0.0
2026-02-10,SCO,Hearts,Hibernian,0.0001,0.0008,0.0032,0.0201,0.0631,0.1432,0.2529,0.2531,0.1544,0.0697,0.0258,0.0088,0.0047,0.0699,0.065,0.1116,0.0341,0.1201,0.0885,0.0125,0.0622,0.1023,0.0443,0.0023,0.0224,0.0501,0.0538,0.0192,0.0007,0.0072,0.014,0.034,0.0217,0.0059,0.0,0.0009,0.0049,0.0116,0.0107,0.0057,0.003
2026-02-10,SUI,Luzern,Grasshoppers,0.0009,0.0015,0.004,0.0184,0.0748,0.1606,0.2685,0.2377,0.1298,0.0648,0.0266,0.0092,0.0031,0.0611,0.0592,0.0969,0.0415,0.1272,0.0746,0.0123,0.0678,0.0962,0.0364,0.003,0.0274,0.0635,0.0454,0.0152,0.0009,0.0055,0.0283,0.0355,0.0215,0.0074,0.0006,0.0009,0.0057,0.0128,0.0069,0.0078,0.0025
2026-02-11,ENG,Aston Villa,Brighton,0.0011,0.0009,0.0044,0.0164,0.0466,0.1298,0.2595,0.2439,0.1563,0.0838,0.0404,0.0124,0.0046,0.0664,0.0514,0.1089,0.0262,0.1208,0.0872,0.0102,0.061,0.099,0.0556,0.0034,0.0165,0.0579,0.0572,0.0318,0.0009,0.0054,0.014,0.0299,0.0223,0.0097,0.0005,0.001,0.0037,0.0131,0.0107,0.0076,0.0036
2026-02-11,ENG,Charlton,Stoke,0.0002,0.0013,0.0076,0.0324,0.0905,0.1917,0.3202,0.2187,0.0913,0.0338,0.0093,0.0026,0.0003,0.1261,0.1049,0.1248,0.0565,0.1393,0.0627,0.0246,0.0685,0.0739,0.0264,0.0062,0.0301,0.0479,0.0258,0.0076,0.0007,0.0072,0.0161,0.0182,0.0067,0.0019,0.0002,0.0013,0.0035,0.0067,0.0027,0.0014,0.0001
2026-02-11,ENG,Sunderland,Liverpool,0.0052,0.0146,0.0343,0.0935,0.1748,0.2712,0.2373,0.1192,0.037,0.0104,0.002,0.0004,0.0,0.0732,0.1361,0.0583,0.1115,0.1025,0.0227,0.0612,0.1044,0.0486,0.0065,0.0241,0.0507,0.0515,0.0117,0.0013,0.0111,0.0281,0.026,0.0107,0.0038,0.0001,0.0031,0.009,0.011,0.009,0.0026,0.0006,0.0
2026-02-11,ENG,Man City,Fulham,0.0,0.0014,0.0032,0.0103,0.0378,0.1019,0.1993,0.2481,0.1922,0.108,0.06,0.0244,0.0134,0.0452,0.0406,0.1008,0.0174,0.0889,0.1066,0.0057,0.0422,0.1068,0.0716,0.0022,0.0163,0.0529,0.0636,0.0416,0.0007,0.0031,0.0164,0.034,0.032,0.0173,0.0,0.0005,0.0038,0.0113,0.02,0.0169,0.0086
2026-02-11,ENG,Forest,Wolves,0.0005,0.0006,0.0034,0.0147,0.0454,0.126,0.2611,0.2549,0.1557,0.0813,0.0385,0.0121,0.0056,0.0707,0.0562,0.1218,0.0272,0.1231,0.0905,0.0087,0.0536,0.0999,0.0555,0.0024,0.0153,0.0554,0.0545,0.0281,0.0005,0.0052,0.0131,0.028,0.0205,0.0095,0.0004,0.001,0.0027,0.0102,0.0101,0.0094,0.0041
2026-02-11,ENG,Crystal Palace,Burnley,0.0002,0.0003,0.0026,0.0129,0.0451,0.1271,0.2693,0.2629,0.156,0.0763,0.0333,0.0094,0.0046,0.085,0.0641,0.1394,0.0293,0.1262,0.095,0.0083,0.0489,0.0978,0.055,0.0017,0.0136,0.0495,0.0519,0.0243,0.0003,0.004,0.0115,0.022,0.0176,0.0075,0.0002,0.0009,0.002,0.0074,0.0087,0.0083,0.0033
2026-02-11,ITA,Bari,Spezia,0.0005,0.0016,0.0107,0.0368,0.0941,0.1905,0.3217,0.2084,0.0932,0.032,0.0085,0.0018,0.0002,0.1187,0.1016,0.1202,0.0583,0.1472,0.0613,0.0293,0.0688,0.0689,0.0246,0.0089,0.0312,0.0492,0.0274,0.0071,0.0012,0.0065,0.0176,0.0177,0.0062,0.0014,0.0004,0.0016,0.0036,0.0064,0.0042,0.0013,0.0002
2026-02-11,ITA,Empoli,Juve Stabia,0.0003,0.0032,0.006,0.0237,0.0711,0.1663,0.3065,0.2343,0.1192,0.0484,0.0141,0.0049,0.002,0.1063,0.0872,0.1177,0.0467,0.146,0.0715,0.0148,0.0645,0.0966,0.0332,0.0042,0.0209,0.0478,0.0412,0.0103,0.0031,0.0073,0.0131,0.0173,0.0132,0.0047,0.0001,0.0013,0.0031,0.0063,0.0059,0.0029,0.0016
2026-02-11,ITA,Suedtirol,Monza,0.0015,0.0051,0.018,0.0479,0.1073,0.225,0.293,0.1862,0.0759,0.0271,0.0101,0.0027,0.0001,0.0973,0.1104,0.0946,0.067,0.1315,0.0481,0.0345,0.0881,0.074,0.0203,0.0136,0.0359,0.0539,0.0237,0.0066,0.0042,0.012,0.0245,0.0162,0.005,0.0021,0.0014,0.0034,0.0035,0.0097,0.004,0.0031,0.0
2026-02-11,NED,Go Ahead Eagles,Heerenveen,0.0006,0.0038,0.0078,0.0313,0.0792,0.1537,0.2653,0.2331,0.1283,0.0639,0.023,0.0074,0.0025,0.0613,0.0594,0.0987,0.0433,0.1326,0.0663,0.0192,0.0692,0.1017,0.0391,0.0059,0.0301,0.0571,0.0516,0.0165,0.0036,0.0092,0.0214,0.0269,0.0203,0.0066,0.0004,0.0015,0.0047,0.0118,0.008,0.0048,0.002
2026-02-11,NED,Nijmegen,Utrecht,0.0009,0.0011,0.0045,0.0199,0.0583,0.1336,0.2388,0.238,0.1626,0.085,0.0382,0.0126,0.0064,0.0519,0.0487,0.0905,0.0284,0.1092,0.0804,0.0121,0.0632,0.1017,0.0507,0.0032,0.022,0.0593,0.0646,0.0282,0.0009,0.0074,0.0176,0.0375,0.0276,0.0085,0.0002,0.0013,0.0062,0.017,0.0155,0.0081,0.0041
2026-02-11,SCO,Falkirk,Dundee,0.0006,0.0012,0.0035,0.0173,0.0729,0.1622,0.2886,0.2444,0.1258,0.0553,0.0198,0.0065,0.0019,0.0855,0.0731,0.1202,0.0455,0.1393,0.0807,0.0125,0.0654,0.0931,0.0354,0.0028,0.0235,0.0534,0.039,0.0131,0.0009,0.0043,0.0208,0.0261,0.016,0.0055,0.0004,0.0006,0.0037,0.0085,0.0046,0.005,0.0016
2026-02-11,SCO,Celtic,Livingston,0.0,0.0,0.001,0.0009,0.0051,0.0227,0.0773,0.1944,0.2218,0.1895,0.1352,0.077,0.075,0.0197,0.0114,0.0904,0.0032,0.0344,0.1256,0.0004,0.0081,0.0767,0.1181,0.0009,0.0012,0.0171,0.0784,0.0857,0.0,0.0005,0.0024,0.0223,0.0575,0.0579,0.0,0.0001,0.0,0.0053,0.0155,0.0411,0.0349
2026-02-11,SCO,Motherwell,Rangers,0.0033,0.0056,0.0226,0.0623,0.1322,0.2291,0.2614,0.1706,0.0802,0.0238,0.0082,0.0005,0.0002,0.0824,0.1094,0.0826,0.0798,0.1179,0.0426,0.04,0.093,0.0673,0.0158,0.0165,0.0446,0.049,0.0304,0.006,0.0051,0.0196,0.0231,0.0177,0.008,0.0003,0.002,0.0049,0.0061,0.0118,0.0064,0.0022,0.0002
2026-02-11,SCO,Kilmarnock,St Mirren,0.0006,0.0013,0.007,0.0319,0.0884,0.1931,0.2988,0.2199,0.1053,0.0371,0.0114,0.0047,0.0002,0.101,0.0979,0.1096,0.0546,0.1328,0.0615,0.0244,0.0708,0.0838,0.0268,0.004,0.0277,0.0562,0.0364,0.0091,0.0012,0.0066,0.0217,0.0227,0.0095,0.0043,0.0006,0.0029,0.0054,0.0084,0.0069,0.0017,0.0
2026-02-11,SCO,Dundee United,Aberdeen,0.0004,0.0036,0.0068,0.027,0.0736,0.1649,0.2933,0.2304,0.1234,0.0529,0.0159,0.0053,0.0024,0.0878,0.0781,0.106,0.0438,0.1422,0.07,0.0163,0.0676,0.0988,0.0353,0.0044,0.0248,0.0543,0.0451,0.0107,0.0034,0.0089,0.0171,0.0218,0.015,0.005,0.0001,0.0016,0.0044,0.0086,0.0072,0.0041,0.0019
2026-02-11,SUI,Zuerich,Winterthur,0.0003,0.0012,0.0041,0.023,0.067,0.1368,0.233,0.2434,0.1585,0.0792,0.0329,0.0134,0.0073,0.0479,0.0503,0.0868,0.0298,0.1067,0.0784,0.0131,0.0636,0.103,0.0445,0.0026,0.0262,0.0584,0.0616,0.022,0.001,0.0093,0.0192,0.045,0.0285,0.0078,0.0,0.0015,0.0076,0.0177,0.016,0.0091,0.0042
2026-02-11,SUI,Lugano,Servette,0.0008,0.0024,0.0056,0.0242,0.0773,0.1568,0.2647,0.2358,0.1295,0.0656,0.0258,0.0086,0.0027,0.0588,0.0574,0.0969,0.042,0.1283,0.0708,0.0156,0.0685,0.0984,0.038,0.0044,0.0293,0.061,0.0484,0.0163,0.002,0.007,0.0261,0.0326,0.0215,0.0072,0.0006,0.0011,0.0053,0.0129,0.0073,0.0067,0.0023
2026-02-11,SUI,StGallen,Young Boys,0.0005,0.0041,0.0079,0.035,0.0823,0.1637,0.2684,0.2209,0.1284,0.0613,0.0201,0.0045,0.0029,0.0522,0.0563,0.0806,0.0346,0.1279,0.0642,0.0201,0.0717,0.0962,0.0397,0.0046,0.0368,0.0694,0.0514,0.0105,0.0032,0.0129,0.0316,0.0365,0.0176,0.0038,0.0003,0.0024,0.0101,0.0175,0.0095,0.0084,0.002
2026-02-12,ENG,Brentford,Arsenal,0.0057,0.0156,0.0441,0.0876,0.1679,0.2421,0.2382,0.1342,0.0448,0.0144,0.0042,0.0007,0.0005,0.0661,0.1051,0.0591,0.0963,0.108,0.0252,0.0566,0.0968,0.0565,0.0087,0.0309,0.0572,0.0493,0.0155,0.0027,0.0117,0.0243,0.0332,0.0154,0.0047,0.0007,0.0037,0.0107,0.0135,0.0129,0.0039,0.0009,0.0005
2026-02-12,SUI,Sion,Basel,0.0008,0.0039,0.016,0.0506,0.1024,0.2097,0.2902,0.1934,0.0876,0.0304,0.0114,0.0034,0.0,0.0813,0.0926,0.09,0.0552,0.1324,0.0466,0.0348,0.0876,0.075,0.0195,0.0118,0.0398,0.0623,0.0301,0.0081,0.0034,0.0139,0.0255,0.0253,0.0093,0.003,0.0004,0.0029,0.0052,0.0114,0.0098,0.0031,0.0
2026-02-12,SUI,Thun,Lausanne,0.0003,0.003,0.006,0.03,0.0766,0.1674,0.2906,0.2285,0.1231,0.0539,0.0151,0.0034,0.0019,0.0774,0.0725,0.1033,0.0391,0.1428,0.0715,0.0193,0.0697,0.0943,0.0384,0.004,0.0307,0.0587,0.0439,0.0091,0.0025,0.0095,0.0229,0.0267,0.0133,0.003,0.0002,0.0016,0.0063,0.0111,0.0063,0.0053,0.0014
2026-02-13,BEL,Mechelen,Genk,0.0007,0.0037,0.0156,0.0512,0.1027,0.2089,0.2895,0.1941,0.0883,0.0303,0.0114,0.0034,0.0,0.0806,0.0926,0.0904,0.0552,0.1325,0.0465,0.0351,0.0874,0.0748,0.0192,0.0115,0.0398,0.0621,0.0304,0.0081,0.0033,0.0142,0.025,0.0255,0.0095,0.0031,0.0003,0.0027,0.0054,0.0114,0.0102,0.0031,0.0
