Date,Country,Home,Away,GD<-5,GD=-5,GD=-4,GD=-3,GD=-2,GD=-1,GD=0,GD=1,GD=2,GD=3,GD=4,GD=5,GD>5,R:0-0,R:0-1,R:1-0,R:0-2,R:1-1,R:2-0,R:0-3,R:1-2,R:2-1,R:3-0,R:0-4,R:1-3,R:2-2,R:3-1,R:4-0,R:0-5,R:1-4,R:2-3,R:3-2,R:4-1,R:5-0,R:0-6,R:1-5,R:2-4,R:3-3,R:4-2,R:5-1,R:6-0
2026-03-01,AUT,Austria Wien,LASK,0.0004,0.0022,0.0063,0.0312,0.0811,0.1738,0.2922,0.2261,0.1173,0.0518,0.0128,0.0036,0.001,0.0785,0.072,0.1023,0.0411,0.1419,0.0677,0.0209,0.0751,0.0938,0.0372,0.0042,0.0334,0.0594,0.0414,0.0081,0.0017,0.0091,0.0251,0.0266,0.0125,0.0029,0.0003,0.0017,0.0063,0.0116,0.0073,0.0044,0.0008
2026-03-01,AUT,GAK,Ried,0.0009,0.0025,0.0133,0.0461,0.1034,0.203,0.2898,0.2,0.0993,0.0304,0.0087,0.0019,0.0007,0.0877,0.1001,0.1035,0.061,0.1385,0.0574,0.0345,0.0781,0.0773,0.0211,0.0092,0.0349,0.0534,0.0339,0.0073,0.0021,0.0101,0.0206,0.0175,0.0076,0.0016,0.0007,0.0032,0.0059,0.0095,0.0067,0.0013,0.0001
2026-03-01,AUT,Salzburg,Hartberg,0.0012,0.001,0.0046,0.0172,0.0455,0.1248,0.253,0.2466,0.153,0.0863,0.0449,0.0157,0.006,0.0564,0.0459,0.1012,0.0243,0.1184,0.085,0.0092,0.0597,0.0999,0.054,0.0034,0.0171,0.0615,0.0553,0.0341,0.001,0.0066,0.0151,0.0378,0.0246,0.0119,0.0007,0.0012,0.0037,0.0146,0.0112,0.0098,0.0047
2026-03-01,AUT,Altach,Rapid Wien,0.0006,0.0019,0.0109,0.042,0.0988,0.2063,0.3039,0.2047,0.0946,0.027,0.0073,0.0014,0.0004,0.1071,0.1131,0.1163,0.0632,0.143,0.0592,0.0329,0.0741,0.0734,0.0198,0.008,0.0303,0.0464,0.0296,0.0064,0.0017,0.0081,0.0164,0.0139,0.006,0.0012,0.0005,0.0024,0.0044,0.007,0.0049,0.0009,0.0001
2026-03-01,AUT,Wolfsberg,Sturm Graz,0.0005,0.0033,0.0146,0.0511,0.1011,0.208,0.295,0.1959,0.0883,0.0285,0.0105,0.0031,0.0,0.0888,0.0963,0.0943,0.0565,0.1345,0.048,0.0356,0.0854,0.075,0.0184,0.0105,0.0373,0.0591,0.03,0.0076,0.003,0.0139,0.0229,0.0235,0.0089,0.0029,0.0002,0.0029,0.0052,0.0101,0.0093,0.0027,0.0
2026-03-01,AUT,BW Linz,Wattens,0.0007,0.0022,0.0126,0.0414,0.0996,0.196,0.3009,0.2042,0.0967,0.0339,0.0092,0.0021,0.0004,0.0966,0.0943,0.108,0.058,0.1405,0.0587,0.0315,0.0768,0.0744,0.0244,0.0097,0.0352,0.0548,0.0314,0.0076,0.0016,0.0084,0.021,0.0197,0.0074,0.0016,0.0006,0.0024,0.005,0.0085,0.0058,0.0015,0.0002
2026-03-01,BEL,Cercle Brugge,Dender,0.0012,0.0009,0.0047,0.0169,0.0493,0.1312,0.2536,0.2356,0.1638,0.0862,0.0417,0.0106,0.0043,0.0634,0.0479,0.1027,0.0267,0.117,0.0858,0.0121,0.0634,0.0984,0.0566,0.0036,0.0179,0.0581,0.0629,0.033,0.0008,0.0046,0.0161,0.0281,0.0239,0.0084,0.0003,0.0011,0.0046,0.0145,0.0138,0.0071,0.0031
2026-03-01,BEL,Charleroi,Brugge,0.0064,0.0165,0.0458,0.0892,0.1671,0.2394,0.2338,0.1342,0.0457,0.0161,0.0043,0.0008,0.0006,0.0608,0.0982,0.0567,0.0926,0.1059,0.0246,0.0569,0.0977,0.0566,0.0097,0.0315,0.0593,0.0497,0.0166,0.0028,0.0125,0.0249,0.0357,0.0169,0.0052,0.0008,0.0041,0.0114,0.0143,0.0152,0.0045,0.0009,0.0006
2026-03-01,BEL,Genk,Gent,0.0015,0.001,0.005,0.0174,0.0494,0.1293,0.2467,0.2325,0.1649,0.0898,0.0449,0.0123,0.0051,0.0555,0.0439,0.0945,0.0255,0.1126,0.0825,0.0119,0.0633,0.0988,0.0566,0.0038,0.0187,0.0611,0.0653,0.0347,0.0009,0.0052,0.0175,0.0314,0.0262,0.0094,0.0004,0.0012,0.0051,0.0166,0.0155,0.0083,0.0036
2026-03-01,BEL,Westerlo,St Gillis,0.0064,0.0159,0.038,0.0996,0.1763,0.2645,0.2286,0.1192,0.037,0.0118,0.0021,0.0005,0.0,0.0625,0.122,0.0538,0.1061,0.0974,0.0215,0.0621,0.1048,0.0512,0.0071,0.0256,0.0546,0.0564,0.0125,0.0014,0.0112,0.0322,0.0313,0.0123,0.0046,0.0002,0.0038,0.0106,0.0134,0.0106,0.0031,0.0006,0.0
