Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/10/2025 16:45,Arena Lublin,Dynamo Kyiv,Crystal Palace,0 - 2
2,1,02/10/2025 16:45,Poznan Stadium,Lech Poznan,SK Rapid,4 - 1
3,1,02/10/2025 16:45,Estadio de Vallecas,Rayo Vallecano,Shkëndija,2 - 0
4,1,02/10/2025 16:45,GSP,Omonoia,Mainz,0 - 1
5,1,02/10/2025 16:45,Stadion Miejski w Bialymstoku,Jagiellonia,Hamrun Spartans,1 - 0
6,1,02/10/2025 16:45,Stadium of HŠK Zrinjski,Zrinjski,L. Red Imps,5 - 0
7,1,02/10/2025 16:45,Tammelan Stadion,KuPS Kuopio,Drita,1 - 1
8,1,02/10/2025 16:45,Stade de la Tuilière,Lausanne-Sport,Breiðablik,3 - 0
9,1,02/10/2025 16:45,Republican Stadium after Vazgen Sargsyan,Noah,Rijeka,1 - 0
10,1,02/10/2025 19:00,Stadio Artemio Franchi,Fiorentina,Sigma Olomouc,2 - 0
11,1,02/10/2025 19:00,Národný futbalový štadión,S. Bratislava,Strasbourg,1 - 2
12,1,02/10/2025 19:00,The Marshall Józef Pilsudski's Municipal Stadium o,Legia Warszawa,Samsunspor,0 - 1
13,1,02/10/2025 19:00,Stadion Letná,Sparta Praha,Shamrock Rovers,4 - 1
14,1,02/10/2025 19:00,Stadion Celje,Celje,AEK Athens,3 - 1
15,1,02/10/2025 19:00,Pittodrie Stadium,Aberdeen,Shakhtar,2 - 3
16,1,02/10/2025 19:00,Zaglebiowski Park Sportowy,Raków,U. Craiova,2 - 0
17,1,02/10/2025 19:00,AEK Arena,AEK Larnaca,AZ Alkmaar,4 - 0
18,1,02/10/2025 19:00,Tallaght Stadium,Shelbourne,Häcken,0 - 0
19,2,23/10/2025 16:45,Municipal Henryk Reyman’s Stadium in Krakow,Shakhtar,Legia Warszawa,1 - 2
20,2,23/10/2025 16:45,Weststadion,SK Rapid,Fiorentina,0 - 3
21,2,23/10/2025 16:45,Stade de La Meinau,Strasbourg,Jagiellonia,1 - 1
22,2,23/10/2025 16:45,Stadion HNK Rijeka,Rijeka,Sparta Praha,1 - 0
23,2,23/10/2025 16:45,AEK Arena,AEK Athens,Aberdeen,6 - 0
24,2,23/10/2025 16:45,Stadiumi Fadil Vokrri,Drita,Omonoia,1 - 1
