Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,24/09/2025 16:45,Toumba Stadium,PAOK,M. Tel-Aviv,0 - 0
2,1,24/09/2025 16:45,Arena Herning,Midtjylland,Sturm Graz,2 - 0
3,1,24/09/2025 19:00,Stadion Maksimir,GNK Dinamo,Fenerbahçe,3 - 1
4,1,24/09/2025 19:00,La Cartuja de Sevilla,Real Betis,Nott'm Forest,2 - 2
5,1,24/09/2025 19:00,Estádio Municipal de Braga,Braga,Feyenoord,1 - 0
6,1,24/09/2025 19:00,Stadion Rajko Mitic,Crvena Zvezda,Celtic,1 - 1
7,1,24/09/2025 19:00,Stadion am Wolfswinkel,Freiburg,Basel,2 - 1
8,1,24/09/2025 19:00,Grand Stade de Nice,Nice,Roma,1 - 2
9,1,24/09/2025 19:00,Malmö New Stadium,Malmö,Ludogorets,1 - 2
10,1,25/09/2025 16:45,Stade Pierre Mauroy,Lille,Brann,2 - 1
11,1,25/09/2025 16:45,Stadion De Adelaarshorst,Go Ahead Eagles,FCSB,0 - 1
12,1,25/09/2025 19:00,Ibrox Stadium,Rangers,Genk,0 - 1
13,1,25/09/2025 19:00,Stadion Salzburg,Salzburg,Porto,0 - 1
14,1,25/09/2025 19:00,Villa Park,Aston Villa,Bologna,1 - 0
15,1,25/09/2025 19:00,Ferencváros Stadion,Ferencváros,Viktoria Plzen,1 - 1
16,1,25/09/2025 19:00,Stadion Wankdorf,Young Boys,Panathinaikos,1 - 4
17,1,25/09/2025 19:00,Arena Stuttgart,Stuttgart,Celta,2 - 1
18,1,25/09/2025 19:00,Stadion Galgenwaard,Utrecht,Lyon,0 - 1
19,2,02/10/2025 16:45,Stadio Olimpico,Roma,Lille,0 - 1
20,2,02/10/2025 16:45,Fenerbahçe Sükrü Saracoglu Spor Kompleksi,Fenerbahçe,Nice,2 - 1
21,2,02/10/2025 16:45,Stadion mesta Plzne,Viktoria Plzen,Malmö,3 - 0
22,2,02/10/2025 16:45,Celtic Park,Celtic,Braga,0 - 2
23,2,02/10/2025 16:45,Ludogorets Arena,Ludogorets,Real Betis,0 - 2
24,2,02/10/2025 16:45,National Arena,FCSB,Young Boys,0 - 2
25,2,02/10/2025 16:45,Stadio Renato Dall'Ara,Bologna,Freiburg,1 - 1
26,2,02/10/2025 16:45,Olympic Athletic Center of Athens ""Spyros Louis"",Panathinaikos,Go Ahead Eagles,1 - 2
27,2,02/10/2025 16:45,Brann Stadion,Brann,Utrecht,1 - 0
28,2,02/10/2025 19:00,Estádio do Dragão,Porto,Crvena Zvezda,2 - 1
29,2,02/10/2025 19:00,Stadion Feijenoord 'De Kuip',Feyenoord,Aston Villa,0 - 2
30,2,02/10/2025 19:00,OL Stadium,Lyon,Salzburg,2 - 0
31,2,02/10/2025 19:00,TSC Arena,M. Tel-Aviv,GNK Dinamo,1 - 3
32,2,02/10/2025 19:00,St. Jakob-Park,Basel,Stuttgart,2 - 0
33,2,02/10/2025 19:00,City Ground,Nott'm Forest,Midtjylland,2 - 3
34,2,02/10/2025 19:00,Stadion Graz Liebenau,Sturm Graz,Rangers,2 - 1
35,2,02/10/2025 19:00,Estadio Balaidos,Celta,PAOK,3 - 1
36,2,02/10/2025 19:00,KRC Genk Arena,Genk,Ferencváros,0 - 1
38,3,23/10/2025 16:45,Stadion Salzburg,Salzburg,Ferencváros,2 - 3
39,3,23/10/2025 16:45,Fenerbahçe Sükrü Saracoglu Spor Kompleksi,Fenerbahçe,Stuttgart,1 - 0
40,3,23/10/2025 16:45,Estádio Municipal de Braga,Braga,Crvena Zvezda,2 - 0
41,3,23/10/2025 16:45,OL Stadium,Lyon,Basel,2 - 0
42,3,23/10/2025 16:45,National Arena,FCSB,Bologna,1 - 2
43,3,23/10/2025 16:45,Stadion De Adelaarshorst,Go Ahead Eagles,Aston Villa,2 - 1
44,3,23/10/2025 16:45,KRC Genk Arena,Genk,Real Betis,0 - 0
45,3,23/10/2025 16:45,Brann Stadion,Brann,Rangers,3 - 0
37,3,23/10/2025 19:00,Stadion Feijenoord 'De Kuip',Feyenoord,Panathinaikos,3 - 1
46,3,23/10/2025 19:00,Stadio Olimpico,Roma,Viktoria Plzen,1 - 2
47,3,23/10/2025 19:00,Stade Pierre Mauroy,Lille,PAOK,3 - 4
48,3,23/10/2025 19:00,Celtic Park,Celtic,Sturm Graz,2 - 1
49,3,23/10/2025 19:00,TSC Arena,M. Tel-Aviv,Midtjylland,0 - 3
50,3,23/10/2025 19:00,Stadion Wankdorf,Young Boys,Ludogorets,3 - 2
51,3,23/10/2025 19:00,Stadion am Wolfswinkel,Freiburg,Utrecht,2 - 0
52,3,23/10/2025 19:00,City Ground,Nott'm Forest,Porto,2 - 0
53,3,23/10/2025 19:00,Estadio Balaidos,Celta,Nice,2 - 1
54,3,23/10/2025 19:00,Malmö New Stadium,Malmö,GNK Dinamo,1 - 1
55,4,06/11/2025 17:45,Stadion Maksimir,GNK Dinamo,Celta,0 - 3
56,4,06/11/2025 17:45,Stadion Salzburg,Salzburg,Go Ahead Eagles,2 - 0
57,4,06/11/2025 17:45,Stadion Rajko Mitic,Crvena Zvezda,Lille,1 - 0
58,4,06/11/2025 17:45,St. Jakob-Park,Basel,FCSB,3 - 1
59,4,06/11/2025 17:45,Arena Herning,Midtjylland,Celtic,3 - 1
60,4,06/11/2025 17:45,Stadion Graz Liebenau,Sturm Graz,Nott'm Forest,0 - 0
61,4,06/11/2025 17:45,Grand Stade de Nice,Nice,Freiburg,1 - 3
62,4,06/11/2025 17:45,Malmö New Stadium,Malmö,Panathinaikos,0 - 1
63,4,06/11/2025 17:45,Stadion Galgenwaard,Utrecht,Porto,1 - 1
64,4,06/11/2025 20:00,Ibrox Stadium,Rangers,Roma,0 - 2
65,4,06/11/2025 20:00,La Cartuja de Sevilla,Real Betis,Lyon,2 - 0
66,4,06/11/2025 20:00,Villa Park,Aston Villa,M. Tel-Aviv,2 - 0
67,4,06/11/2025 20:00,Estádio Municipal de Braga,Braga,Genk,3 - 4
68,4,06/11/2025 20:00,Toumba Stadium,PAOK,Young Boys,4 - 0
