Div,Date,Time,HomeTeam,AwayTeam,Referee,B365H,B365D,B365A,BFDH,BFDD,BFDA,BVH,BVD,BVA,BWH,BWD,BWA,PPH,PPD,PPA,SKBH,SKBD,SKBA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,BFEH,BFED,BFEA,B365>2.5,B365<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,BFE>2.5,BFE<2.5,AHh,B365AHH,B365AHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,BFEAHH,BFEAHA,B365CH,B365CD,B365CA,BFDCH,BFDCD,BFDCA,BVCH,BVCD,BVCA,BWCH,BWCD,BWCA,PPCH,PPCD,PPCA,SKBCH,SKBCD,SKBCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365C>2.5,B365C<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,BFEC>2.5,BFEC<2.5,AHCh,B365CAHH,B365CAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,BFECAHH,BFECAHA
E1,15/09/2026,19:45,Bristol City,Lincoln,T Robinson,1.79,3.6,4.1,1.9,3.5,4.2,1.85,3.6,4.2,1.87,3.6,4.1,1.85,3.5,4.33,1.83,3.6,4.2,1.9,3.6,4.33,1.85,3.55,4.19,1.94,3.7,4.6,2.03,1.83,2.03,1.83,1.96,1.79,2.06,1.91,-0.5,1.85,2,1.85,2,1.81,1.93,1.94,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,15/09/2026,19:45,Middlesbrough,Millwall,R Madley,1.42,4.75,6.5,1.5,4.6,6,1.45,4.6,6.5,1.5,4.75,5.75,1.44,4.5,6,1.44,4.5,6,1.52,4.75,6.5,1.47,4.6,6.03,1.53,4.9,6.6,1.57,2.38,1.58,2.5,1.54,2.38,1.61,2.56,-1.25,2,1.85,2.05,1.85,1.98,1.77,2.11,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,17/09/2026,20:00,AFC Wimbledon,Milton Keynes Dons,R Eley,3,3.3,2.25,2.8,3.5,2.4,2.8,3.3,2.3,2.85,3.4,2.3,2.8,3.5,2.3,2.75,3.4,2.3,3,3.5,2.4,2.84,3.38,2.31,2.98,3.5,2.42,1.85,1.95,1.88,1.95,1.82,1.9,1.89,2,0.25,1.8,2.05,1.8,2.05,1.77,1.98,1.83,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Aldershot,Yeovil,N Smith,2.15,3.5,2.9,2.15,3.4,3,2.1,3.4,3.1,2.1,3.3,2.9,2.15,3.4,2.88,2.15,3.3,2.8,2.2,3.75,3.1,2.13,3.42,2.95,2.2,3.75,3.35,1.8,2,1.8,2,1.75,1.96,1.81,2.16,-0.25,1.9,1.9,1.9,1.9,1.84,1.86,1.91,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Boston Utd,Woking,R Aspinall,2.15,3.5,2.88,2.25,3.4,2.88,2.25,3.3,2.9,2.2,3.2,2.8,2.15,3.4,2.88,2.15,3.3,2.8,2.25,3.6,2.9,2.2,3.35,2.86,2.34,3.6,3.15,1.85,1.95,1.85,1.95,1.81,1.9,1.9,2.02,-0.25,1.98,1.83,1.98,1.83,1.92,1.79,2.03,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Carlisle,Forest Green,A Miller,1.95,3.6,3.3,1.95,3.75,3.2,1.93,3.75,3.25,1.95,3.5,3,1.9,3.8,3.25,1.85,3.6,3.1,2.05,3.8,3.3,1.94,3.65,3.17,2,4.1,3.6,1.53,2.4,1.53,2.63,1.49,2.45,1.56,2.64,-0.5,1.98,1.83,2,1.83,1.93,1.76,2,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Harrogate,Fylde,C Jones,1.95,3.8,3.2,2,3.75,3.1,1.95,3.75,3.2,1.98,3.5,3.1,1.95,3.6,3.1,1.95,3.5,3.1,2,3.8,3.2,1.98,3.64,3.13,2.04,4,3.55,1.5,2.5,1.54,2.75,1.49,2.48,1.55,2.72,-0.5,1.98,1.83,1.98,1.83,1.95,1.75,2.04,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Solihull,Barrow,T Sangowawa,2.55,3.6,2.38,2.63,3.5,2.38,2.63,3.4,2.38,2.6,3.25,2.35,2.6,3.3,2.4,2.5,3.25,2.38,2.7,3.6,2.4,2.61,3.41,2.36,2.82,3.65,2.5,1.7,2.1,1.7,2.2,1.67,2.08,1.77,2.22,0,2,1.8,2,1.8,1.95,1.76,2.08,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Southend,Tamworth,R Watkins,1.53,4.2,4.75,1.5,4.33,5,1.5,4.33,5,1.51,4.2,4.6,1.44,4.4,5,1.44,4.2,4.8,1.55,4.5,5,1.51,4.29,4.79,1.57,4.7,5.8,1.44,2.7,1.48,2.8,1.43,2.63,1.49,2.92,-1,1.85,1.95,1.85,1.95,1.82,1.89,1.88,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,15/09/2026,19:45,Sutton,Eastleigh,A Dale,1.95,3.5,3.3,1.95,3.5,3.4,1.95,3.4,3.4,1.98,3.2,3.25,1.91,3.25,3.6,1.91,3.2,3.5,2,3.5,3.6,1.97,3.34,3.38,2.14,3.5,3.75,1.88,1.93,1.91,1.93,1.82,1.88,1.99,1.95,-0.5,2,1.8,2,1.8,1.94,1.75,2.14,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
