Rank;Club;Elo;
1;Arsenal;2065;
2;Bayern;1976;
3;Man City;1974;
4;Paris SG;1957;
5;Liverpool;1949;
6;Barcelona;1939;
7;Inter;1935;
8;Chelsea;1930;
9;Aston Villa;1929;
10;Real Madrid;1912;
11;Man United;1881;
12;Newcastle;1867;
13;Brentford;1853;
14;Sporting;1850;
15;Dortmund;1839;
16;Bournemouth;1835;
17;Milan;1833;
18;Everton;1832;
19;Atlético;1831;
20;Brighton;1830;
21;Juventus;1822;
22;Tottenham;1820;
23;Benfica;1817;
24;Leverkusen;1811;
25;Fulham;1808;
26;Crystal Palace;1806;
27;Napoli;1803;
28;Roma;1799;
29;Atalanta;1788;
30;PSV;1786;
31;Forest;1785;
32;Leeds;1780;
33;Porto;1776;
34;Lyon;1769;
35;Lens;1757;
36;Stuttgart;1747;
37;Betis;1747;
38;West Ham;1744;
39;RB Leipzig;1742;
40;Marseille;1738;
41;Como;1737;
42;Villarreal;1728;
43;Brugge;1726;
44;St Gillis;1725;
45;Hoffenheim;1722;
46;Lazio;1722;
47;Galatasaray;1714;
48;Olympiakos;1706;
49;Sunderland;1706;
50;Lille;1701;
51;Braga;1700;
52;Freiburg;1699;
53;Bodø/Glimt;1694;
54;Strasbourg;1694;
55;Bilbao;1691;
56;Bologna;1689;
57;Fenerbahçe;1689;
58;Celta;1687;
59;Burnley;1685;
60;Midtjylland;1683;
61;Monaco;1681;
62;Real Sociedad;1675;
63;Wolves;1669;
64;Osasuna;1669;
65;Frankfurt;1667;
66;Mainz;1663;
67;Zenit;1663;
68;Rennes;1654;
69;Toulouse;1653;
70;Slavia Praha;1652;
71;Fiorentina;1646;
72;Brest;1643;
73;Krasnodar;1639;
74;Ipswich;1638;
75;Paok;1633;
76;AEK;1633;
77;Espanyol;1632;
78;Torino;1631;
79;Valencia;1631;
80;Genoa;1626;
81;Udinese;1623;
82;Union Berlin;1623;
83;Gladbach;1623;
84;Cagliari;1621;
85;Mallorca;1621;
86;Werder;1621;
87;Sassuolo;1616;
88;Lorient;1616;
89;Middlesbrough;1609;
90;Girona;1608;
91;Coventry;1606;
92;Rayo Vallecano;1606;
93;Augsburg;1606;
94;Getafe;1605;
95;Wolfsburg;1604;
96;Feyenoord;1603;
97;Genk;1601;
98;Venezia;1601;
99;FC København;1600;
100;Alavés;1600;
101;Parma;1600;
102;Sevilla;1595;
103;CSKA;1595;
104;Ajax;1592;
105;Viking;1591;
106;Nice;1590;
107;Hamburg;1584;
108;Levante;1584;
109;Viktoria Plzeň;1582;
110;Elche;1581;
111;Sheffield United;1580;
112;Crvena Zvezda;1579;
113;Lokomotiv Moskva;1576;
114;Sparta Praha;1575;
115;Köln;1575;
116;Millwall;1572;
117;Paphos;1572;
118;Aarhus;1572;
119;Angers;1571;
120;Celtic;1569;
121;Le Havre;1567;
122;Hull;1566;
123;Panathinaikos;1565;
124;Southampton;1561;
125;Cremonese;1560;
126;Auxerre;1559;
127;Qarabağ;1558;
128;Lecce;1557;
129;St. Pauli;1555;
130;Brøndby;1554;
